Component,Explained Variance Ratio,Cumulative Variance
1,0.29769924524894137,0.29769924524894137
2,0.15317145842232388,0.45087070367126525
3,0.12215862015642007,0.5730293238276853
4,0.10172412738270216,0.6747534512103875
5,0.09998562992045253,0.7747390811308401
6,0.09298822889810675,0.8677273100289469
7,0.0733111911200371,0.941038501148984
8,0.055323221682957856,0.9963617228319419
9,0.00261908094000623,0.9989808037719481
10,0.0010191962280522472,1.0000000000000004
