,PC1,abs_PC1
Q16,0.19492687918601817,0.19492687918601817
Q20,0.1938990244023476,0.1938990244023476
Q18,0.19386898387328155,0.19386898387328155
Q23,0.19380532360598426,0.19380532360598426
Q21,0.19262921256870924,0.19262921256870924
Q24,0.1924553662258292,0.1924553662258292
Q19,0.1923397123699472,0.1923397123699472
Q26,0.19219011772752942,0.19219011772752942
Q14,0.1920077240176018,0.1920077240176018
Q10,0.191929822471234,0.191929822471234
